Date,PM10_BEHALA,PM10_SHYAMBAZAR,PM10_DUNLOP,PM10_MAULALI,PM10_SALTLAKE,PM10_MINTOPARK,PM10_ULTODANGA,PM10_BAISHNABGHATA,PM10_TOLLYGAUNGE,PM10_PICNICGARDEN,PM10_BELIAGHATA,PM10_MOMINPORE,PM10_TOPSIA,PM10_HYDEROAD,PM10_GARIAHAT,PM10_PARIBESHBHAWAN,PM10_RAJBHAWAN,PM10_RAJARHAT
"Monthly average December, 2008",201.7,189.9,192.1,201.7,162.6,137.8,153,150.9,170,185.8,189.3,184.4,141.3,247,163.8,171.2,112.9,112.9
"Monthly average January, 2009",227,211,195,257.9,227,164.6,185.7,173.8,88,174.2,201.3,201,166.3,224.9,189.2,193.5,120.5,120.5
"Monthly average February, 2009",201.4,175.1,144.6,174.4,201.4,128.4,171.5,143.6,107,165.3,165.7,169.4,164.5,173.2,124.7,209.9,87.8,87.8
"Monthly average March, 2009",123.4,115.3,107.1,128.1,123.4,88.3,132.3,100.4,76,99.5,95.4,109.8,111.9,119.3,91.7,104.1,57,57
"Monthly average April, 2009",75.2,59.3,41.7,52.4,75.2,45.3,60.5,45.4,42,51.1,44.7,54.7,64.9,61.8,47.8,72.1,38.9,38.9
"Monthly average May, 2009",50.5,41.8,35.8,42.5,50.5,35.1,45.4,31,61,40.3,35,41.9,43.3,44.6,36,52.1,34.2,34.2
"Monthly average June, 2009",50.8,40.2,37.5,42.1,50.8,33.5,34.3,32.7,53,34.4,35,37.6,42.8,40.3,31.9,53.5,34.5,34.5
"Monthly average July, 2009",47.3,38.9,36.6,37.8,47.3,27.5,33.1,27.5,28,32.4,35.2,33,33.4,35,29.3,40.5,26.8,26.8
"Monthly average August, 2009",38.1,33.9,36.5,34.9,38.1,26.8,28.4,25.1,35,32.7,32.7,28,28.6,36.1,29,26.3,31.8,31.8
"Monthly average September, 2009",47,40.9,50.2,39,47,33.5,27.5,24.3,42,41,36.8,31.5,32.3,47.4,32.5,26.9,67.1,67.1
